profession,social_media_sleep,mood_disorder,content_type_social_media,think_time_instagram,think_time_whatsapp,think_time_twitter,think_time_facebook,think_time_youtube,think_time_linkedin,actual_time_instagram,actual_time_whatsapp,actual_time_twitter,actual_time_facebook,actual_time_youtube,actual_time_linkedin,focus_quality,binge_watch_reels,sad_content_feed,social_media_purpose,social_relationship_impact,time_loss_social_media,sleep_quality_general,refreshed_after_social_media,anxious_stressed,compare_with_others,headaches_eyestrain,trouble_sleeping_month,sleep_quality_month,social_media_before_bed,nervous_anxious,smartphone_discomfort
0,3,4,10,1,2,4,4,2,2,1,2,4,4,2,2,3,4,5,21,4,2,4,0,0,3,1,1,3,1,1,3
0,4,3,10,2,1,4,2,2,2,2,2,2,2,2,2,3,4,5,21,3,1,4,0,0,3,1,1,3,1,1,3
0,3,3,16,0,0,4,4,0,0,1,1,4,4,1,1,4,4,4,60,4,1,4,0,0,3,1,1,3,1,1,3
0,1,2,27,1,2,4,4,2,2,1,2,4,4,1,2,3,3,5,67,2,0,4,0,0,3,1,1,3,1,1,3
0,3,3,12,2,4,4,4,1,1,3,3,4,4,0,1,3,3,4,27,2,2,4,0,0,3,1,1,3,1,1,3
11,4,4,47,4,1,4,4,2,4,4,3,4,4,3,4,4,3,3,46,1,4,3,0,1,4,1,1,4,1,1,2
6,4,4,4,4,2,4,2,2,4,4,3,4,3,3,4,3,3,3,84,3,4,4,0,1,3,1,3,4,1,3,4
0,1,2,10,0,4,4,4,0,4,0,4,4,4,0,4,4,4,4,43,4,4,4,1,1,3,1,4,4,1,4,4
0,3,4,27,2,2,4,4,3,4,2,2,4,4,4,4,3,3,3,74,3,4,3,0,1,3,1,3,3,1,3,3
0,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,5,85,4,4,4,1,1,3,1,4,5,1,5,5
0,3,4,30,1,2,2,4,1,3,0,1,3,4,1,2,3,4,4,70,3,4,4,1,0,3,0,2,3,1,2,3
0,5,3,16,0,0,0,4,0,4,0,0,0,4,0,4,1,4,5,76,4,4,2,1,1,5,0,2,5,1,5,1
0,3,3,30,1,2,4,4,1,3,1,2,4,4,1,3,1,4,5,59,3,3,5,1,0,3,1,1,5,0,5,1
0,2,1,12,1,2,2,4,2,2,0,1,2,4,3,2,3,3,5,67,4,4,3,1,0,3,0,1,3,1,1,1
0,3,3,30,1,3,4,4,3,4,1,2,4,4,2,4,3,5,4,60,3,4,3,0,1,4,0,3,3,1,2,3
0,1,1,4,2,3,4,4,1,2,2,3,4,4,1,3,1,1,2,27,1,4,4,0,0,2,1,2,4,1,3,2
0,3,4,12,4,1,4,4,1,3,4,1,4,4,1,4,2,4,3,49,4,4,4,0,0,4,1,1,4,0,4,1
0,5,5,58,1,1,4,4,2,2,1,1,4,4,2,2,4,3,4,52,3,4,2,0,1,5,1,5,2,1,5,4
0,2,1,27,0,0,4,4,1,2,0,1,4,4,1,3,4,5,4,49,3,4,3,1,0,1,1,2,3,1,3,3
0,3,4,30,1,1,4,4,2,2,1,2,4,4,2,2,4,4,5,79,3,4,2,0,1,4,1,2,3,1,2,2
0,1,2,31,4,1,4,4,0,3,4,2,4,4,0,3,3,3,4,59,4,3,2,0,1,2,1,2,2,1,2,2
0,3,4,30,0,4,4,4,2,4,0,4,4,4,1,4,4,5,3,67,4,4,3,1,1,3,1,3,3,1,4,3
0,1,5,16,0,0,4,4,2,1,0,0,4,4,0,0,3,5,5,59,3,4,1,0,1,4,0,4,1,1,4,5
0,1,2,10,2,2,4,4,2,3,2,2,4,4,2,3,1,2,3,70,2,4,4,1,0,2,1,2,3,1,1,3
0,5,5,12,1,2,4,4,0,2,1,2,4,4,1,2,5,4,3,79,4,4,2,0,1,3,1,4,4,1,4,4
0,5,1,47,4,4,4,4,2,4,4,4,4,4,2,4,1,2,1,84,5,4,5,1,0,2,1,2,5,1,1,1
0,4,4,49,2,1,3,2,0,3,2,1,2,1,0,3,4,1,2,33,1,4,3,0,1,2,1,3,3,1,3,2
0,5,5,30,4,4,4,4,1,3,4,4,4,4,1,3,5,5,5,59,3,4,4,0,1,2,1,1,4,0,3,2
0,1,1,35,1,3,4,4,1,2,2,3,3,3,1,2,1,3,3,67,3,4,1,0,0,1,1,4,1,1,4,2
0,3,4,12,3,3,4,4,3,4,3,3,4,4,3,4,3,3,3,60,3,4,3,0,1,2,0,3,3,0,3,3
0,1,2,12,2,1,3,4,1,1,2,1,3,4,1,1,2,1,2,59,2,4,5,1,0,1,0,1,5,1,3,2
0,3,4,30,2,3,3,2,0,3,4,4,4,4,1,4,4,4,4,72,4,4,2,0,1,2,0,4,4,1,3,4
0,4,4,27,1,3,0,4,2,3,1,3,1,4,2,3,5,3,5,67,4,4,2,0,1,4,0,4,2,1,2,4
0,4,1,10,0,0,2,1,0,1,0,0,0,0,0,0,5,3,5,59,4,3,5,0,1,5,1,5,5,1,5,5
0,4,4,30,2,1,4,4,1,2,1,2,4,4,1,2,4,3,4,44,2,4,2,0,1,4,1,4,3,1,5,4
7,3,4,7,4,2,4,4,3,4,4,2,4,4,3,4,2,4,2,24,3,4,3,0,0,1,1,4,3,0,1,1
7,4,4,12,2,2,4,4,3,3,2,2,4,4,2,2,3,3,4,49,3,4,4,0,0,3,1,1,4,1,1,4
0,5,1,37,1,4,4,4,2,4,1,3,4,4,2,4,5,4,3,70,3,3,4,1,0,3,0,2,3,1,3,1
0,3,2,42,2,4,4,4,1,4,2,4,4,4,1,4,2,4,1,59,1,4,2,1,0,1,0,2,3,1,1,2
0,1,1,10,2,3,4,4,2,4,2,4,4,4,2,4,1,1,4,60,3,4,3,1,0,2,0,2,3,0,2,2
0,3,3,47,2,2,4,4,4,3,4,4,4,4,4,4,3,1,4,46,3,4,4,0,1,2,1,2,3,1,2,3
0,5,1,16,3,2,3,4,2,2,3,2,4,4,2,2,1,1,5,59,3,4,4,1,0,1,0,3,4,1,1,5
0,4,4,22,2,2,4,0,1,4,2,3,4,0,0,4,4,2,5,46,3,4,1,0,1,1,0,5,1,1,4,5
0,4,4,35,1,2,4,4,1,2,3,1,1,4,1,4,3,4,4,70,5,3,4,1,1,4,0,4,4,1,3,2
0,2,1,10,2,4,4,4,2,3,2,4,4,4,1,4,1,2,5,59,2,4,3,1,0,1,0,4,4,0,4,1
0,5,5,10,0,1,2,4,0,0,0,1,3,4,1,0,5,5,2,67,5,4,1,0,0,5,1,5,3,1,4,5
0,3,2,16,1,3,4,4,0,3,1,3,4,4,0,3,2,2,2,55,5,3,3,1,0,2,0,2,3,1,1,2
0,4,3,16,0,1,4,4,1,1,0,1,4,4,1,1,4,5,2,59,4,4,4,1,0,1,0,2,3,1,4,2
0,2,4,35,1,0,3,4,0,1,1,1,4,4,0,1,1,4,5,67,3,3,4,1,0,4,1,4,3,1,4,4
0,5,5,30,0,1,3,4,0,2,0,1,3,4,0,2,5,4,5,76,3,4,2,0,1,3,1,4,3,1,4,2
0,3,3,35,1,1,4,4,1,2,1,1,4,4,1,2,3,3,4,60,5,4,5,1,0,2,0,2,4,0,2,2
0,4,4,22,2,1,4,4,3,2,1,1,4,4,2,1,4,3,4,39,4,4,4,0,1,4,1,3,4,1,3,4
0,3,1,10,0,2,4,3,2,1,0,1,4,4,3,2,2,4,4,33,3,4,5,1,0,1,1,1,4,1,1,4
0,1,3,49,4,1,4,4,1,2,4,2,4,4,2,2,2,2,3,22,1,4,5,0,1,1,1,1,5,0,1,1
0,3,3,30,0,2,3,3,2,2,0,2,3,3,1,2,3,3,3,67,3,4,3,0,0,3,1,2,3,1,2,3
0,4,3,5,3,3,3,3,3,3,1,1,1,1,1,1,3,4,5,30,4,4,5,0,0,4,1,3,3,0,2,4
0,3,4,16,2,4,4,4,1,2,2,3,4,4,1,1,5,2,3,67,2,4,4,1,1,4,1,2,3,1,1,4
1,3,5,12,2,2,1,4,0,1,2,2,2,4,0,2,5,2,2,35,3,4,3,0,1,1,1,3,4,1,1,3
0,5,5,22,0,0,4,4,1,2,0,0,4,4,1,2,5,5,5,49,1,4,2,0,1,5,1,3,3,1,5,5
0,4,2,16,2,1,4,4,3,4,1,1,4,4,2,4,4,4,5,70,4,4,3,0,0,4,1,3,3,1,3,5
0,4,5,44,4,2,4,4,1,4,4,2,4,4,1,4,1,3,2,28,3,4,4,0,0,4,1,3,2,0,3,2
0,2,2,12,2,2,4,4,2,4,2,2,4,4,2,4,3,2,1,83,1,4,4,1,0,3,0,2,5,0,1,1
0,3,2,12,4,2,4,2,2,4,3,2,3,2,2,3,2,2,3,3,2,3,4,1,0,3,1,2,2,1,3,4
0,1,1,27,4,1,4,4,1,4,4,2,4,4,1,4,5,4,2,46,2,4,4,0,0,1,1,1,5,0,1,2
7,3,3,4,2,2,4,4,3,3,2,2,4,4,3,3,3,3,3,43,4,3,3,0,0,1,0,5,3,1,3,3
0,3,2,10,2,3,4,4,1,4,2,3,4,4,1,4,3,2,5,46,5,4,5,1,0,3,0,1,5,0,5,5
0,4,3,27,4,4,4,4,2,4,4,3,4,4,2,4,2,1,4,59,1,4,5,0,1,1,0,4,4,0,1,1
0,5,3,4,4,1,4,4,1,4,4,1,4,4,1,4,2,1,4,22,2,4,4,0,0,3,1,2,4,0,2,1
0,4,2,16,4,3,4,4,2,4,4,2,4,4,2,4,2,1,5,46,3,4,4,0,1,1,0,2,4,0,4,1
0,1,2,12,4,4,4,4,3,4,4,4,4,4,4,4,1,1,2,22,2,4,4,1,1,2,1,1,1,0,1,1
0,5,3,47,4,1,4,4,2,4,4,2,4,4,1,4,5,3,4,22,4,4,5,0,1,3,1,4,4,0,3,1
0,3,2,22,2,2,4,4,2,4,2,2,4,4,2,4,2,3,5,60,3,4,5,1,0,1,1,1,3,1,2,3
0,3,2,10,4,4,4,4,2,4,4,4,4,4,2,4,1,3,4,35,3,4,5,1,0,1,0,1,4,1,1,4
0,1,1,22,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,83,3,4,5,0,1,3,1,2,1,1,5,5
0,5,4,10,4,3,4,4,1,4,4,2,4,4,1,4,3,3,4,84,2,4,3,0,1,2,1,1,2,0,1,2
0,4,5,10,4,3,4,4,0,4,4,3,4,4,0,4,5,4,4,61,1,4,3,0,0,4,1,1,3,1,4,5
0,5,3,10,4,4,4,4,3,4,4,3,4,4,0,4,5,3,3,49,3,4,3,0,1,3,1,3,3,1,3,3
0,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,1,2,3,22,1,4,4,0,1,1,1,2,2,1,2,1
0,3,4,22,4,4,4,4,4,2,4,3,4,4,4,3,4,3,2,70,3,4,4,0,0,1,1,3,4,1,2,2
0,1,1,10,2,2,4,4,1,1,3,3,4,4,3,3,1,1,2,46,1,4,1,1,0,1,0,1,1,1,1,1
0,1,4,10,3,3,4,4,1,4,4,3,4,4,1,4,2,1,5,22,3,4,4,0,0,3,0,2,4,0,2,3
0,4,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2,3,22,3,4,3,0,0,3,1,3,4,1,1,2
0,3,2,12,4,2,4,4,1,3,4,2,4,4,1,3,4,3,4,22,3,4,4,1,1,2,1,3,4,1,4,3
0,2,1,44,4,2,4,4,2,3,4,2,4,4,1,2,2,1,5,46,1,4,4,0,0,3,1,2,3,0,2,1
0,3,1,12,3,3,4,4,4,4,0,0,4,4,2,4,4,3,2,52,1,4,4,1,1,1,1,3,3,0,2,5
0,1,1,30,2,3,3,2,2,4,2,3,4,2,3,4,1,1,3,79,1,3,5,1,0,1,0,1,5,1,1,1
7,4,3,4,4,2,4,2,3,4,4,2,4,2,3,4,3,3,3,22,3,4,3,1,0,3,0,3,3,1,3,3
0,1,1,4,2,2,4,4,2,4,2,2,4,4,2,2,1,5,1,46,5,3,5,0,1,5,1,1,1,0,5,1
0,1,5,3,4,4,4,4,4,3,3,3,3,3,3,3,1,3,3,2,1,3,5,1,1,1,1,3,5,1,3,3
0,1,3,4,4,2,4,4,0,4,4,2,4,4,0,4,1,1,1,25,3,4,5,1,0,1,1,5,3,1,3,1
0,1,2,12,1,3,4,4,1,4,1,3,4,4,1,4,1,3,5,49,4,4,5,1,0,4,1,4,5,1,2,5
0,4,2,49,4,3,4,4,2,4,4,3,4,4,2,4,2,3,1,85,4,4,5,1,0,1,0,2,4,0,1,1
0,2,2,44,1,3,4,4,2,4,1,3,4,4,2,4,2,3,4,46,3,4,3,0,0,1,0,1,3,0,1,3
0,1,1,10,4,4,4,4,4,4,4,4,4,4,4,4,1,5,5,46,4,4,3,1,1,5,1,3,3,1,2,2
0,2,1,30,1,2,4,4,0,4,1,2,4,4,0,4,1,2,3,56,3,4,3,1,0,1,1,2,3,1,2,2
0,1,2,30,4,3,2,3,4,2,4,3,3,3,4,2,2,2,3,84,1,3,2,1,0,1,1,1,2,0,1,3
0,5,1,4,3,4,2,3,4,2,2,4,2,2,4,2,1,1,1,43,1,3,5,0,0,1,0,1,2,1,1,1
0,1,2,4,4,3,4,4,3,4,4,3,4,4,3,4,1,1,1,84,1,3,1,0,0,1,1,1,1,1,1,1
12,5,5,49,3,1,1,4,1,4,3,1,2,2,0,4,4,2,4,45,2,4,3,0,0,3,1,4,3,1,4,3
0,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,46,3,4,3,1,0,2,1,2,2,1,2,3
8,2,3,10,4,4,4,4,4,4,3,3,3,3,3,3,3,4,5,84,3,4,4,1,1,4,1,3,3,1,3,3
0,3,1,4,4,3,4,4,4,4,4,3,4,4,2,4,2,2,4,43,3,4,4,0,0,2,0,2,4,0,2,2
0,1,5,47,4,1,0,0,0,4,0,0,0,0,0,0,3,5,5,84,3,4,3,0,1,5,0,3,4,0,4,1
0,2,2,44,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,27,1,4,1,1,1,1,0,1,1,0,1,1
0,3,1,22,2,2,4,4,2,4,2,2,4,4,2,4,3,1,2,84,1,3,3,0,1,1,0,2,5,0,1,2
0,1,3,44,2,3,2,2,3,2,3,4,2,2,3,2,1,2,3,35,3,4,2,1,1,2,1,2,4,0,2,1
0,4,4,30,4,1,4,4,0,4,4,1,4,4,0,4,3,2,5,60,3,4,3,0,1,4,1,3,3,1,3,5
0,2,3,12,2,3,4,4,3,4,2,3,4,4,3,4,2,3,2,83,2,4,4,1,0,2,0,1,4,1,1,1
7,4,1,47,4,1,4,3,4,4,4,1,4,3,4,4,1,1,1,22,3,3,4,1,0,1,0,1,3,1,1,2
0,3,1,4,4,2,4,4,1,4,4,2,4,4,1,4,2,3,1,86,1,3,3,1,0,2,1,4,3,0,1,1
7,3,3,46,4,2,4,3,2,4,4,2,4,3,2,4,3,1,2,12,3,4,3,0,1,2,1,3,3,1,3,2
0,2,1,12,4,4,4,4,4,3,4,4,4,4,3,4,2,2,1,49,1,4,4,0,0,1,0,3,5,1,1,1
0,1,1,47,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,46,1,3,1,1,1,1,1,1,1,1,1,1
0,5,1,4,4,3,4,4,2,4,4,3,4,4,2,4,4,1,5,84,4,4,5,0,0,1,0,2,4,0,1,1
0,5,5,4,4,3,4,4,1,4,4,2,4,4,1,4,5,3,3,84,3,4,3,0,1,3,1,3,3,0,4,1
0,3,4,44,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,22,3,4,4,0,1,3,1,3,3,1,2,2
0,1,3,44,4,3,4,3,3,2,4,3,4,2,3,2,1,1,1,46,3,4,4,0,1,1,1,1,1,1,1,1
0,3,3,12,2,2,4,4,3,1,2,2,4,4,4,1,2,4,4,67,1,4,3,0,0,1,1,1,4,1,1,1
0,1,5,50,4,2,1,4,4,4,4,2,0,3,3,3,1,1,1,84,1,4,1,0,0,5,1,3,4,0,1,4
0,3,2,47,3,3,4,3,4,4,3,4,3,4,3,4,3,3,3,84,5,3,3,1,1,3,1,4,3,1,3,4
0,3,4,16,1,0,2,4,1,4,3,0,2,2,1,2,4,5,4,52,4,4,2,0,0,3,1,4,4,1,4,4
6,4,4,48,2,2,2,2,1,4,2,2,2,4,1,4,4,4,3,26,3,3,4,0,1,3,1,4,4,1,3,1
0,5,1,16,2,0,4,4,0,4,4,0,4,4,0,4,1,3,3,60,3,4,3,0,0,1,1,1,3,1,3,1
0,3,1,44,0,3,2,2,1,4,1,0,2,4,3,4,4,2,2,43,4,4,4,1,0,5,1,2,2,1,1,3
0,3,3,44,1,0,4,4,1,4,2,3,4,4,2,4,3,3,4,84,2,4,4,0,1,3,1,3,2,0,3,2
0,3,4,10,2,2,4,2,2,4,2,2,4,2,2,4,3,3,3,46,1,4,3,0,0,4,1,4,3,1,3,2
0,2,2,4,4,2,4,4,2,4,4,2,4,4,2,4,1,1,1,15,1,3,4,0,1,1,1,1,4,0,1,1
7,3,2,30,4,3,4,4,2,4,4,3,4,4,2,4,3,2,1,84,3,4,4,0,1,3,1,1,4,1,2,1
0,3,3,5,2,2,4,4,2,4,4,2,4,4,1,4,3,1,1,0,2,4,3,0,0,1,1,2,3,0,1,1
0,3,3,45,3,4,4,4,4,4,3,4,4,4,4,4,4,3,5,82,3,4,2,0,1,2,1,4,3,1,3,2
0,5,2,12,3,3,4,4,3,4,3,3,4,4,3,4,1,1,1,52,2,4,3,0,0,1,1,1,1,0,2,2
0,3,4,10,4,1,4,4,2,4,4,1,4,4,1,4,3,4,5,35,5,4,5,1,1,5,1,1,5,0,2,1
0,4,2,22,2,2,4,4,1,4,2,2,4,4,1,4,4,3,1,28,3,4,4,1,0,3,0,2,5,0,2,2
0,1,1,4,2,2,0,0,2,0,2,2,0,0,2,0,1,2,2,83,3,4,4,1,0,1,0,3,4,1,3,3
0,2,3,27,4,4,4,4,3,4,4,4,4,4,2,4,1,1,3,84,3,4,4,0,1,2,1,1,4,1,1,2
7,5,5,26,0,1,1,1,1,1,0,0,4,4,4,4,5,4,5,83,5,4,2,0,1,4,1,4,4,1,4,4
0,1,5,43,4,4,4,4,3,4,4,4,4,4,3,4,1,1,1,10,1,3,5,1,0,1,0,1,5,1,1,5
0,5,5,50,2,3,4,4,2,4,2,2,4,4,2,4,5,4,4,79,2,4,5,0,1,1,1,3,3,1,3,3
7,5,5,4,4,1,4,4,4,4,4,4,4,4,4,4,5,4,1,43,5,4,5,0,1,1,1,1,3,0,1,1
0,1,2,10,4,4,4,4,1,4,4,4,4,4,1,4,1,1,1,46,2,4,5,1,0,2,0,2,1,1,2,5
0,3,1,4,4,2,4,4,2,4,4,2,4,4,2,4,5,3,2,23,3,4,3,1,1,3,1,3,3,1,3,3
0,4,3,10,2,2,4,4,3,4,2,3,4,4,3,4,1,3,4,59,3,4,5,1,0,3,0,1,5,1,4,3
0,3,3,4,4,3,4,4,1,4,4,3,4,4,2,4,4,1,4,22,1,4,5,0,0,1,0,1,5,0,1,1
6,2,1,49,2,0,2,2,2,2,1,0,1,1,1,1,3,1,1,44,3,4,4,0,1,2,0,2,2,0,3,2
0,1,1,4,3,4,4,4,3,4,3,4,4,4,3,4,1,1,1,22,1,4,2,1,1,1,1,1,1,0,1,1
0,2,3,10,0,0,4,4,0,4,2,2,4,4,4,4,2,3,2,60,2,3,2,0,1,2,0,3,2,1,3,3
0,1,1,10,2,3,2,0,1,4,4,3,1,2,3,0,1,1,1,46,2,3,1,0,1,1,1,4,2,1,5,1
0,1,1,30,2,1,4,4,2,4,2,2,4,4,1,4,3,1,5,49,1,4,3,1,1,3,1,2,4,1,5,4
0,1,1,10,1,0,3,4,2,1,1,0,2,4,1,0,2,3,1,59,1,4,4,0,0,5,1,4,4,1,1,3
0,3,4,30,4,3,3,4,2,4,4,3,3,4,2,4,4,3,5,77,2,4,3,0,1,3,1,3,3,1,5,3
0,3,3,44,4,3,4,4,4,4,4,3,4,4,4,4,4,3,1,23,3,4,5,0,0,1,0,1,5,1,3,1
0,1,2,10,2,2,3,2,4,2,2,2,4,3,2,4,2,2,2,46,2,4,2,1,0,2,1,2,2,1,2,2
0,5,5,31,3,4,3,4,3,4,4,3,4,3,4,3,2,2,4,46,2,4,2,0,0,1,0,2,3,1,1,1
7,5,5,44,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,43,5,4,5,1,0,5,0,1,5,1,1,1
0,1,1,51,2,2,4,4,2,2,2,2,4,4,2,2,1,1,1,3,1,3,5,1,0,1,0,5,1,1,1,1
0,1,1,47,4,3,4,4,1,4,4,4,4,4,2,4,1,1,1,6,1,3,5,0,0,1,0,1,5,0,1,1
0,3,1,4,4,4,4,4,2,4,4,4,4,4,2,4,3,3,3,16,3,4,4,1,0,1,1,3,4,1,1,4
0,2,1,12,4,4,4,4,1,4,4,4,4,4,1,4,2,1,3,7,3,4,4,0,0,3,1,2,4,1,1,2
3,5,5,4,2,1,4,4,2,4,2,1,4,4,2,4,5,4,5,9,1,4,4,0,1,1,1,1,3,0,1,1
0,1,3,15,3,4,4,4,0,4,4,4,4,4,2,4,1,1,1,78,1,3,5,1,0,1,1,1,5,1,1,2
0,2,1,44,4,2,4,4,0,4,4,4,4,4,0,4,1,1,5,43,3,4,3,0,0,3,0,1,5,0,1,1
0,4,4,30,4,1,4,4,1,4,4,2,4,4,1,4,3,2,3,30,2,4,5,0,0,1,1,1,5,0,1,1
0,5,3,54,3,3,4,4,4,4,3,3,4,4,4,4,3,2,2,49,3,4,3,1,0,2,0,2,2,0,3,3
7,5,4,4,4,2,4,4,2,4,4,2,4,4,1,4,1,1,3,19,3,4,5,0,1,2,1,3,4,1,2,3
